"Account Name","Environment","Cloud Provider","Cloud Provider Identifier","Service","Rule ID","Rule Title","Check Status","Risk Level","Message","Region","Categories","Resource","Provider Resource ID","Tags","Failure Discovery Date","Failure Resolved Date","Last Updated Date","Rule Release Date","Rule Update Date","Resolution Page"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-akamai contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-016ca33f7e029745b","","aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6, AWS_Solutions=LandingZoneStackSet, aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, aws:cloudformation:logical-id=AllowAkamaiSecurityGroup","2020-11-28T06:30:12.476Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-database-sg contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-0f739466870f554a6","","AWS_Solutions=LandingZoneStackSet, aws:cloudformation:logical-id=AllowDatabaseSecurityGroup, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6, aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055","2021-01-10T06:16:45.654Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-dfir-fred-sg contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-064b3c4ff6495d3a2","","aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, AWS_Solutions=LandingZoneStackSet, aws:cloudformation:logical-id=DfirFredSecurityGroup, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6","2020-05-19T16:21:43.146Z","","2020-05-19T16:21:34.000Z","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-from-onprem-to-aws contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-00db81a00ad11896c","","aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6, AWS_Solutions=LandingZoneStackSet, aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, aws:cloudformation:logical-id=OnPremSecurityGroup","2021-01-10T06:16:45.654Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-icmp contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-0a0e5f4421d9352f2","","aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, AWS_Solutions=LandingZoneStackSet, aws:cloudformation:logical-id=IcmpSecurityGroup, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6","2020-11-28T06:30:12.476Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-lambda-sg contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-05d599017138757ee","","AWS_Solutions=LandingZoneStackSet, aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, aws:cloudformation:logical-id=AllowLambdaSecurityGroup, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6","2020-03-20T21:43:13.562Z","","2020-03-20T21:42:56.000Z","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-managed-elastic-search-sg contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-0c60a75b1d397c50b","","AWS_Solutions=LandingZoneStackSet, aws:cloudformation:logical-id=AllowManagedElasticSearchSecurityGroup, aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6","2021-02-15T14:01:53.682Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group allow-web contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-0713995116b42809a","","aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, aws:cloudformation:logical-id=WebSecurityGroup, AWS_Solutions=LandingZoneStackSet, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6","2021-01-10T06:16:45.654Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group aws-endpoint-communications-443 contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-069a29fb96d1d9af8","","aws:cloudformation:logical-id=SsmSecurityGroup, aws:cloudformation:stack-id=arn:aws:cloudformation:ca-central-1:557412189607:stack/StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055/1184bb70-07c3-11ea-8c6c-022b159b6fd6, aws:cloudformation:stack-name=StackSet-AWS-Landing-Zone-Baseline-RogersVPC-aa30c73a-457e-4a6d-82aa-acd90bf65055, AWS_Solutions=LandingZoneStackSet","2021-01-10T06:16:45.654Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
"ENT-PROD","Production","aws","557412189607","EC2","EC2-033","Unrestricted Security Group Egress","FAILURE","Medium","Security group default contains 0.0.0.0/0 or ::/0","ca-central-1","security","sg-09fc9fb2715b5e6e8","","","2021-01-10T06:16:45.654Z","","","2017-01-01","2018-11-19","https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html#x43wd89Jv"
